PADILLA-2K 996 41388.23311354
MMILLER-PC 997 41561.336976584
DESHPANDE-PC 1495 38893.859266738
TAMMYB-PC 1495 37411.358294577
LPW25 1495 35468.587351317
CLARA 1680 36656.39399021
KASHA2-PC 1694 37952.129223018
SEKAR-2K 1694 39682.019878294
SLYON-2K 1694 38994.478728964
AMS-PC 1694 39762.359161978
LPW12 1794 40715.470205341
RAGHU-PC 1794 40395.049043314
MNAIR-PC 1794 40708.39898393
CRB-CONF-PC 1794 41167.147587932
NOT-PC 1794 39756.47351679
CYLEE-2K 1794 43127.848054066
VNANDIGAM-PC 1794 40483.827377188
DING-2K 1794 40396.843850126
GRIBSKOV-PC 1794 40673.38456265
JOLAN-2K 1794 39846.949013435
PURNIMA-PC 1794 44089.923484586
BWEST-PC2 1794 40777.149010013
ARUN-PC 1794 39830.071674965
ELLA2K 1794 44079.207156124
YOHAN-PC 1794 40390.063238162
ALLENP-PC 1794 42183.043806214
MJDORT-PC 1794 39217.696376164
408-PC 1794 44584.029608309
NAYA-2K 1794 41274.311514904
MMARTONE-2K 1794 38985.381474689
SUTTON-PC 1992 65970.575344636
MOORE1-PC 1992 46895.873855707
MOORE2-PC 1992 48266.330145403
NING-PC 1992 72406.496584055
FAWKES 1993 70303.629703865
ABIR-PC 1998 96777.470079199
LPW9 2000 48025.169437878
NLEE-PC 2000 49435.964693567
YENCHEN2-2K 2193 50752.21135854
377-PC 2260 79127.173319468
LINDA-PC 2260 72213.052273653
ABLATECKY-PC 2260 76730.508359793
AKIRA 2260 83779.5
REENA-PC 2261 70710.250549246
FSUDHOLT-PC 2391 89054.297881388
CSHEN-2K 2391 86649.357817221
MBANTON-PC 2391 92065.327457411
KSTOCKS2-PC 2391 86340.721461252
BOWERS-PC 2391 86567.470877204
TRACTOR-2K 2391 84622.721797725
AMOREIRA-PC 2391 87995.016890095
BIGBERTHA 2392 96146.906011163
GIRIJAL-PC 2393 93461.88106445
JAEGER-PC 2394 92988.053543317
DZHOU-PC 2399 85057.499890627
HERBIE 2399 86764.3
