@Machine id
@Number of Cores
@Power monitor
@Power GPU
@set of supported CPU speed
@set of power consumption associed to each supported CPU speed
@set of state transition supported
@set of latency associed to each state transition supported
@set of power consumption associed to each state transition supported 

V2-linux212	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
linux211	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
linux107	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
V2-linux107	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V4-linux107	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux106	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V5-linux106	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
linux98	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux98	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux98	2	0	0	1800000|1200000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
linux99	2	0	0	1800000|1200000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V3-linux99	2	0	0	2200000|1600000|1200000	65|47.27|35.45	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|35.45|3.33|0.7
linux101	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V4-linux101	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V5-linux101	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux100	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux100	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V3-linux100	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.65|3.33|0.7
V4-linux92	4	0	0	2200000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux96	2	0	0	3000000|2000000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V4-linux96	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
linux97	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux97	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux97	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
