Param1				Param2					Cluster   distribution	 k		   Trace			 stats.attr		 Size		Fraction
2.03518080325003	0.460447482352472          1     lognormal    5     gwa-t10   bot_runtime_sum		  51		0.210743801652893
1.81376019473927	0.307225400908939          2     lognormal    5     gwa-t10   bot_runtime_sum		  4		0.0165289256198347
2.52829906696232	0.386266127905572          3     lognormal    5     gwa-t10   bot_runtime_sum		  154	   0.636363636363636
7.49427577523916	0.500877405207032          4     gamma		    5     gwa-t10   bot_runtime_sum		  24		0.0991735537190083
3.09640239547879	10.9602620128153           5     weibull		 5     gwa-t10   bot_runtime_sum		  9		0.0371900826446281
3.55877972064879	13.0631224246939           1     weibull		 5     gwa-t10   bot_user_iat			  80		0.32520325203252
2.27112165704642	0.237591575254913          2     lognormal	 5     gwa-t10   bot_user_iat			  22		0.0894308943089431
46.3154629409387	4.18854177635201           3     gamma			 5     gwa-t10   bot_user_iat			  59		0.239837398373984
0.122382377431921 NA						         4     exponential	 5     gwa-t10   bot_user_iat			  44		0.178861788617886
15.0151705618059	3.64291398376814           5     normal		 5     gwa-t10   bot_user_iat			  41		0.166666666666667
11.1556669184567  3.97623635014194           1     normal		 5     gwa-t10   bot_user_thinktime	  8		0.153846153846154
2.21277394447779  0.390984570386443          2     lognormal	 5     gwa-t10   bot_user_thinktime	  8		0.153846153846154
7.50211393665722  0.88015447956327           3     gamma			 5     gwa-t10   bot_user_thinktime	  14		0.269230769230769
7.79385254457533  0.619977139787155          4     gamma			 5     gwa-t10   bot_user_thinktime	  18		0.346153846153846
2.14265209780641  0.310910994849004          5     gamma			 5     gwa-t10   bot_user_thinktime	  4		0.0769230769230769
33.7727129241376  2.91976611462227           1     gamma			 5     gwa-t11   bot_runtime_sum		  72		0.28125
7.07199332133035  2.38195246827964           2     normal		 5     gwa-t11   bot_runtime_sum		  52		0.203125
9.359568874881	   0.91547197559855           3     gamma			 5     gwa-t11   bot_runtime_sum		  93		0.36328125
14.4816470125291  3.81280213688051           4     normal		 5     gwa-t11   bot_runtime_sum		  34		0.1328125
59.1303307102788  3.8676251986777            5     gamma			 5     gwa-t11   bot_runtime_sum		  5		0.01953125
46.2245361583972  4.00338659710715           1     gamma 		 5     gwa-t11   bot_user_iat			  58		0.343195266272189
32.5751108567883  3.13731479710561           2     gamma 		 5     gwa-t11   bot_user_iat			  72		0.42603550295858
29.923140178928   3.22463359187125           3     gamma 		 5     gwa-t11   bot_user_iat			  2		0.0118343195266272
1864075758.20812  145474275.748299           4     gamma 		 5     gwa-t11   bot_user_iat			  15		0.0887573964497041
36.5867702707556  2.84698226256552           5     gamma 		 5     gwa-t11   bot_user_iat			  22		0.130177514792899
24.5879158700306  2.19695788607289           1     gamma 		 5     gwa-t11   bot_user_thinktime	  86		0.405660377358491
882675.101824944  74906.3388993846           2     gamma 		 5     gwa-t11   bot_user_thinktime	  16		0.0754716981132075
22.3630708568852  2.17268923451508           3     gamma 		 5     gwa-t11   bot_user_thinktime	  35		0.165094339622642
2.53173510774113  0.12836751309321           4     lognormal	 5     gwa-t11   bot_user_thinktime	  40		0.188679245283019
8.37756691305835  1.06428997727819           5     gamma			 5     gwa-t11   bot_user_thinktime	  35		0.165094339622642
7.26100845288294  0.92096356686727           1     gamma			 5     gwa-t1    bot_runtime_sum		  129		0.539748953974895
4.00790093812053  1.82170744071264           2     gamma			 5     gwa-t1    bot_runtime_sum		  33		0.138075313807531
2.23520256010415  6.13302656727324           3     weibull		 5     gwa-t1    bot_runtime_sum		  73		0.305439330543933
8.65157272109536  0.855631182769745          4     gamma			 5     gwa-t1    bot_runtime_sum		  2		0.00836820083682008
6.30347797230538  0.522136155711106          5     gamma			 5     gwa-t1    bot_runtime_sum		  2		0.00836820083682008
2.19123503225574  0.20265683819756           1     lognormal	 5     gwa-t1    bot_user_iat			  154		0.628571428571429
3.96475635107207  11.6444044576108           2     weibull		 5     gwa-t1    bot_user_iat			  81		0.330612244897959
19.1877790107158  1.94593550890772           3     gamma			 5     gwa-t1    bot_user_iat			  2		0.00816326530612245
21.5991449324415  1.41751800057124           4     gamma			 5     gwa-t1    bot_user_iat			  2		0.00816326530612245
8.5300038043457   12.2575810793682           5     weibull		 5     gwa-t1    bot_user_iat			  6		0.0244897959183673
1.52055793115239  0.373343290757809          1     gamma			 5     gwa-t1    bot_user_thinktime	  13		0.25
11.7974837748118  1.10557906288176           2     gamma			 5     gwa-t1    bot_user_thinktime	  14		0.269230769230769
8.4953490502882   3.3057091774516            3     normal		 5     gwa-t1    bot_user_thinktime	  17		0.326923076923077
6.16476665803217  3.88349420900067           4     normal  		 5     gwa-t1    bot_user_thinktime	  1		0.0192307692307692
7.21247085825861  0.501662206608321          5     gamma   		 5     gwa-t1    bot_user_thinktime	  7		0.134615384615385
10.6890235904306  3.19620080749491           1     normal  		 5     gwa-t2    bot_runtime_sum		  152		0.596078431372549
3.36752482590256  12.8205329926023           2     weibull 		 5     gwa-t2    bot_runtime_sum		  28		0.109803921568627
8.55689437624432  3.65651283212524           3     normal  		 5     gwa-t2    bot_runtime_sum		  11		0.0431372549019608
12.8832301263676  3.53404932145008           4     normal  		 5     gwa-t2    bot_runtime_sum		  55		0.215686274509804
0.56562799220013  NA						         5     exponential  5     gwa-t2    bot_runtime_sum		  9		0.0352941176470588
2.45758934816311  0.285361629668016          1     lognormal	 5     gwa-t2    bot_user_iat			  72		0.436363636363636
14.1294845391164  3.54215097080336           2     normal		 5     gwa-t2    bot_user_iat			  24		0.145454545454545
