#site	num_cpus 
P1	19  
P2	1   
P3	1   
P4	1   
P5	1   
P6	25  
P7	26  
P8	1   
P9	1   
P10	1   
P11	1   
P12	1   
P13	1   
P14	1   
P15	884 
P16	46  
P17	100 
P18	60  
P19	1200
P20	32  
P21	4   
P22	4   
P23	40  
P24	100 
P25	100 
P26	100 
P27	100 
P28	100 
P29	10  
P30	1   
P31	1   
P32	32  
P33	64  
P34	18  
P35	1	
P36	4   
P37	100 
P38	100 
P39	1   
P40	9   
