MachineName Time Duracao
BOWERS-PC	1062601678	900
DUSTINS-PC	1062601678	900
HJASSO	1062601685	900
DAN	1062601758	900
RITKE-PC	1062601827	3805
JOLAN-2K	1062601855	900
LPW16	1062601985	900
NESTLE-2K	1062602000	900
T-LEO	1062602051	1857
T-KRUGER	1062602055	6345
VOYAGER-2K	1062602063	900
KAMRATHA-PC	1062602103	900
DMITRY-2K	1062602148	900
ENS-GUEST-PC	1062602170	900
FLERI-PC	1062602170	900
HAWK3-PC	1062602222	4752
IBSPC1	1062602229	900
AUDITORIUM-PC	1062602279	900
GUPTA-PC	1062602297	1859
SHINDYALOV-2K	1062602312	1921
GENOME-2K	1062602333	4341
SHERWIN-2K	1062602334	1878
REALVIDEO-2K	1062602341	2790
POTOROO-2K	1062602362	900
LN1	1062602394	900
STECKLER2-PC	1062602402	900
462-PC	1062602403	900
GREENACRES	1062602454	900
LPW14	1062602455	900
IRENE-PC	1062602455	5629
BLATECKY-ADMIN	1062602470	3528
ABLATECKY-PC	1062602514	900
SEKAR-2K	1062602520	1875
PANCAKE-PC	1062602536	900
MNAIR-PC	1062602594	2813
MARCIANO-2K	1062602616	900
CENON-2K	1062602622	900
KSTOCKS2-PC	1062602637	900
RAGHU-PC	1062602645	900
CLARA	1062602651	1818
LPW12	1062602770	900
BWEST-PC2	1062602776	900
T-ALTAIR	1062602776	3847
WATCHIT	1062602778	900
LPW11	1062602816	900
LINDA-PC	1062602821	1822
CSMITH-PC	1062602823	900
GRIBSKOV-PC	1062602830	2906
SIMAST-2K	1062602830	3250
LAWRENCE-2K	1062602831	900
CRB-CONF-PC	1062602834	2810
LEAH-2K	1062602837	900
MAXIMUS-PC	1062602876	900
AMAER-PC	1062602941	900
DONATE1-PC	1062602941	900
NOT-PC	1062602942	3790
JOLAN-2K	1062602943	900
SUTTON-PC	1062602945	1831
BREDDY-PC	1062602964	900
CCWONG-PC	1062603003	2820
SLAWEK-2K	1062603006	900
DAN	1062603007	900
LPW21	1062603013	900
SHANKAR4-PC	1062603031	900
LPW22	1062603058	976
CHIMCHIM	1062603067	900
EUROPA-PC	1062603124	900
MOORE1-PC	1062603190	900
MAFALDA	1062603197	900
NESTLE-2K	1062603210	900
T-PISCSIS	1062603219	5181
LCARLSON-PC	1062603252	5148
BORG-2K	1062603313	900
SHANKAR3-PC	1062603319	1909
BIGBEAR-2K	1062603338	900
MORELAND-2K	1062603369	900
POTOROO-2K	1062603396	900
VISPC-6	1062603436	900
DUSTINS-PC	1062603493	900
APOLLO-2K	1062603561	900
KAMRATHA-PC	1062603612	900
LPW14	1062603613	900
HJASSO	1062603616	1864
WISHBONE-2K	1062603659	1871
KSTOCKS2-PC	1062603665	1821
MARCIANO-2K	1062603697	3780
WATCHIT	1062603809	900
RAGHU-PC	1062603848	900
ABLATECKY-PC	1062603904	900
MAXIMUS-PC	1062603906	900
LPW12	1062603907	900
AUDITORIUM-PC	1062603968	900
AMAER-PC	1062603969	902
JOLAN-2K	1062603971	900
LEAH-2K	1062603978	900
OPS-PC	1062603979	900
T-LEO	1062604038	4362
DAN	1062604094	900
LPW25	1062604094	2772
PHLEBOTOMIST	1062604096	900
CHIMCHIM	1062604280	900
CSMITH-PC	1062604283	900
CYLEE-2K	1062604284	900
ENS-GUEST-PC	1062604284	900
BEHERE-2K	1062604285	900
PANCAKE-PC	1062604334	900
BOWERS-PC	1062604381	900
CSHEN-2K	1062604382	900
SHERWIN-2K	1062604382	900
SHANKAR4-PC	1062604383	900
KILDA	1062604391	1862
MWAN-2K	1062604435	900
POTOROO-2K	1062604468	900
MORELAND-2K	1062604472	900
MBANTON-PC	1062604508	900
SHINDYALOV-2K	1062604542	903
APOLLO-2K	1062604581	900
KANGA	1062604587	900
LPW22	1062604589	900
LPW21	1062604638	900
MOORE1-PC	1062604638	900
IBSPC1	1062604639	900
408-PC	1062604640	900
LPW26	1062604640	2826
LPW16	1062604642	900
HAWK-PC	1062604648	900
SEKAR-2K	1062604697	900
MDIMEGLI-PC	1062604703	900
MAFALDA	1062604737	900
STECKLER2-PC	1062604764	900
SINCOVIT-2K	1062604829	2817
NESTLE-2K	1062604835	901
KAMRATHA-PC	1062604869	900
VISPC-6	1062604870	900
SMALESSI-2K	1062604925	900
LINDA-PC	1062604938	900
GREENACRES	1062604943	900
BWEST-PC2	1062604944	900
KATE-2K	1062604948	900
BREDDY-PC	1062604958	900
LPW12	1062604993	901
RAGHU-PC	1062604994	900
462-PC	1062605133	900
SLAWEK-2K	1062605178	900
LPW7	1062605185	900
REALVIDEO-2K	1062605257	3143
377-PC	1062605301	3099
PUBLIC-PC	1062605311	1857
BEHERE-2K	1062605318	3082
VOYAGER-2K	1062605437	1932
ANDREWS-PC	1062605479	1850
VNANDIGAM-PC	1062605479	1856
MORELAND-2K	1062605539	900
CUTCHIN2-PC	1062605540	2860
BOWERS-PC	1062605541	900
SHANKAR4-PC	1062605541	900
MBANTON-PC	1062605541	2859
AMAER-PC	1062605542	900
CSMITH-PC	1062605542	900
FBADMIN-PC	1062605542	900
SHERWIN-2K	1062605542	1825
MNAIR-PC	1062605542	2788
PROWLER-PC	1062605545	2855
LAWRENCE-2K	1062605549	900
ALTINTAS-2K	1062605552	2848
CSHEN-2K	1062605611	1905
AUDITORIUM-PC	1062605612	900
JAN-PC	1062605612	900
KSTOCKS2-PC	1062605612	900
MAXIMUS-PC	1062605612	900
WINWIZZA	1062605612	1982
LAGRANGE-2K	1062605617	900
SUTTON-PC	1062605623	900
POTOROO-2K	1062605628	968
WISHBONE-2K	1062605659	900
ABLATECKY-PC	1062605664	900
DMITRY-2K	1062605694	900
MWAN-2K	1062605713	901
APOLLO-2K	1062605741	900
CHANDA-2K	1062605761	2639
SEKAR-2K	1062605777	901
HJASSO	1062605789	900
KG	1062605797	2603
LEAH-2K	1062605801	900
BERMAN-PC	1062605803	2597
RITKE-PC	1062605824	2576
JOLAN-2K	1062605837	900
